"","flight_no","aircraft","origin","sch_dep_time","est_arr_time","city","tiempo1"
"25"," LAN712","B788","Comodoro Arturo Merino Benitez Int'l (SCL / SCEL)","Wed 03:50PM -03","Wed 07:53PM -02","Sau_Paulo",5
"26"," TAM8067","A359","Jorge Chavez Int'l (LIM / SPJC)","Wed 12:45PM -05","Wed 07:57PM -02","Sau_Paulo",2
"34"," AZU5333","A320","Guararapes Int'l (Gilberto Freyre Int'l) (REC / SBRF)","Wed 04:40PM -03","Wed 08:29PM -02","Sau_Paulo",8
"41"," TAM8011","A320","Ministro Pistarini Int'l (EZE / SAEZ)","Wed 05:55PM -03","Wed 09:30PM -02","Sau_Paulo",4
"44"," DSM7866","A320","Jorge Newbery (AEP / SABE)","Wed 06:05PM -03","Wed 09:30PM -02","Sau_Paulo",0
"45"," TAM4623","A321","Presidente Castro Pinto Int'l (JPA / SBJP)","Wed 05:30PM -03","Wed 09:41PM -02","Sau_Paulo",8
"50"," TAM8063","B763","Malpensa Int'l (MXP / LIMC)","Wed 07:15PM CET","Thu 04:43AM -02","Sau_Paulo",7
"52"," TAM8065","A359","Barajas Int'l (MAD / LEMD)","Wed 09:25PM CET","Thu 04:48AM -02","Sau_Paulo",4
"65"," BAW249","B788","London Heathrow (LHR / EGLL)","Wed 11:35AM GMT","Wed 08:50PM -02","Rio",9
"67"," ONE6201","A320","Deputado Luis Eduardo Magalhaes Int'l (Dois de Julho) (SSA / SBSV)","Wed 05:40PM -03","Wed 08:45PM -02","Rio",5
"69"," ARG1256","B738","Ministro Pistarini Int'l (EZE / SAEZ)","Wed 05:40PM -03","Wed 09:06PM -02","Rio",9
"71"," CMP873","B738","Tocumen Int'l (PTY / MPTO)","Wed 03:26PM EST","Thu 01:07AM -02","Rio",8
"73"," AVA9399","A318","Antonio Narino (PSO / SKPS)","Wed 03:19PM -05","Wed 04:23PM -05","Bogata",0
"75"," AVA9767","A320","Simon Bolivar (SMR / SKSM)","Wed 03:11PM -05","Wed 04:34PM -05","Bogata",9
